size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,158.554837,153.600004
131072.000000,255.999991,255.999991
262144.000000,433.057275,384.000001
524288.000000,558.545450,558.545450
1048576.000000,682.666643,682.666643
2097152.000000,768.000002,767.250728
4194304.000000,805.770507,792.774204
8388608.000000,825.433763,824.352211
16777216.000000,836.629789,836.629789
33554432.000000,843.811163,843.811163
67108864.000000,847.448255,848.362445
134217728.000000,849.278610,849.321588
