N,Triton,Torch
256.000000,588.355097,662.080955
384.000000,631.831425,698.570367
512.000000,677.106157,687.670903
640.000000,696.151139,698.799252
768.000000,713.984423,725.572725
896.000000,737.065349,742.758555
1024.000000,750.091881,762.937125
1152.000000,756.030659,772.011966
1280.000000,761.086448,776.914937
1408.000000,774.729810,783.023954
1536.000000,777.187789,782.324085
1664.000000,786.253941,784.538786
1792.000000,785.830965,780.542499
1920.000000,788.426137,783.806424
2048.000000,797.249377,781.538613
2176.000000,722.593604,544.589638
2304.000000,728.721258,589.909643
2432.000000,745.163782,631.107867
2560.000000,751.632358,655.157200
2688.000000,759.318062,666.470613
2816.000000,754.233954,666.439531
2944.000000,762.655737,696.825695
3072.000000,771.403934,735.820827
3200.000000,778.285186,696.004767
3328.000000,779.538489,711.979813
3456.000000,776.545997,708.310857
3584.000000,787.580884,744.968035
3712.000000,789.530928,766.553740
3840.000000,792.234392,780.566504
3968.000000,793.202876,773.670129
4096.000000,793.265683,783.548948
4224.000000,811.077596,769.320901
4352.000000,811.695084,790.861010
4480.000000,813.921093,799.987081
4608.000000,814.060854,808.840314
4736.000000,814.412434,805.094995
4864.000000,815.079188,815.685702
4992.000000,815.877123,817.552360
5120.000000,814.495119,816.033192
5248.000000,816.696592,817.453505
5376.000000,815.249610,822.903002
5504.000000,817.003130,813.552691
5632.000000,817.397867,813.567511
5760.000000,817.132152,813.454428
5888.000000,817.248961,813.284009
6016.000000,817.088040,813.214259
6144.000000,818.978483,813.925023
6272.000000,819.972789,813.180073
6400.000000,818.236958,813.281438
6528.000000,819.939344,814.132648
6656.000000,819.205630,812.398601
6784.000000,821.131032,812.882740
6912.000000,820.708230,814.323779
7040.000000,821.399241,812.704332
7168.000000,819.649273,814.400000
7296.000000,821.497489,814.730605
7424.000000,821.348708,813.811259
7552.000000,820.397729,814.053794
7680.000000,820.766202,814.599137
7808.000000,821.015346,815.871747
7936.000000,821.903285,815.478148
8064.000000,823.066986,815.662978
8192.000000,821.702295,814.219515
8320.000000,797.470960,815.033986
8448.000000,798.661052,815.344452
8576.000000,796.340248,815.664864
8704.000000,799.741454,809.183064
8832.000000,793.522529,814.095307
8960.000000,794.867722,815.277449
9088.000000,799.519388,816.757889
9216.000000,799.527924,816.024366
9344.000000,796.973130,805.057397
9472.000000,795.947515,808.464118
9600.000000,796.999539,812.705409
9728.000000,799.194680,814.039686
9856.000000,798.424922,811.345984
9984.000000,795.605455,812.667463
10112.000000,796.283651,813.917083
10240.000000,796.855218,816.526737
10368.000000,797.916613,816.910393
10496.000000,798.614306,815.471620
10624.000000,795.826357,816.156282
10752.000000,797.617067,818.389151
10880.000000,796.837192,818.537050
11008.000000,797.087781,817.695743
11136.000000,796.863164,818.131469
11264.000000,762.046523,784.314067
11392.000000,758.378830,813.467339
11520.000000,797.190332,821.748644
11648.000000,797.667816,822.427058
11776.000000,796.038019,816.607677
11904.000000,795.745614,822.016529
12032.000000,799.685546,822.831936
12160.000000,798.213024,824.218811
12288.000000,796.965058,778.744667
12416.000000,794.052461,678.244417
12544.000000,792.779948,688.949483
12672.000000,797.574066,676.536236
