M,N,K,PyTorch,Triton
256.000000,256.000000,256.000000,6.144000,7.021714
384.000000,384.000000,384.000000,18.431999,18.431999
512.000000,512.000000,512.000000,39.321601,35.746909
640.000000,640.000000,640.000000,31.999999,42.815331
768.000000,768.000000,768.000000,65.943054,66.355202
896.000000,896.000000,896.000000,54.035694,63.529478
1024.000000,1024.000000,1024.000000,69.905066,71.493818
1152.000000,1152.000000,1152.000000,89.411874,89.579522
1280.000000,1280.000000,1280.000000,83.027023,76.800002
1408.000000,1408.000000,1408.000000,87.931869,89.864438
1536.000000,1536.000000,1536.000000,87.742415,82.944000
1664.000000,1664.000000,1664.000000,52.663716,79.871997
1792.000000,1792.000000,1792.000000,88.267728,90.155809
1920.000000,1920.000000,1920.000000,88.238298,87.493671
2048.000000,2048.000000,2048.000000,89.877940,84.449074
2176.000000,2176.000000,2176.000000,90.920097,83.385284
2304.000000,2304.000000,2304.000000,102.084924,94.294229
2432.000000,2432.000000,2432.000000,98.692498,90.627305
2560.000000,2560.000000,2560.000000,99.296973,92.217639
2688.000000,2688.000000,2688.000000,94.041614,90.316797
2816.000000,2816.000000,2816.000000,99.599502,95.089116
2944.000000,2944.000000,2944.000000,99.672063,92.061634
3072.000000,3072.000000,3072.000000,96.846816,88.519704
3200.000000,3200.000000,3200.000000,97.660220,91.954020
3328.000000,3328.000000,3328.000000,95.058927,91.747616
3456.000000,3456.000000,3456.000000,102.052623,95.297362
3584.000000,3584.000000,3584.000000,100.877399,92.696279
3712.000000,3712.000000,3712.000000,90.432113,91.509017
3840.000000,3840.000000,3840.000000,96.784130,98.194893
3968.000000,3968.000000,3968.000000,88.981963,94.009194
4096.000000,4096.000000,4096.000000,94.786526,93.423008
