N,Triton,Torch
1024.000000,336.657521,480.704156
1536.000000,424.028757,485.052653
2048.000000,486.653476,527.452736
2560.000000,529.655159,504.511149
3072.000000,567.138460,475.856390
3584.000000,597.333312,450.345552
4096.000000,625.517613,438.857137
4608.000000,670.254525,425.353845
5120.000000,694.114732,423.724143
5632.000000,703.999975,413.357815
6144.000000,726.384225,402.885254
6656.000000,739.555554,397.373129
7168.000000,738.334768,394.568805
7680.000000,749.268261,393.846143
8192.000000,768.000002,390.870784
8704.000000,732.968454,380.502740
9216.000000,727.953119,377.366596
9728.000000,729.600018,375.961344
10240.000000,742.477367,371.800287
10752.000000,750.139535,366.025525
11264.000000,750.998528,359.968036
11776.000000,753.946733,359.115630
12288.000000,760.082502,353.611508
12800.000000,736.966799,356.380516
13312.000000,764.325340,348.512566
13824.000000,755.538861,350.344248
14336.000000,732.051065,349.658522
14848.000000,728.736199,348.000001
15360.000000,766.403334,346.466181
15872.000000,760.430169,345.669689
