SEQ_LEN,torch.nn.functional.scaled_dot_product_attention,This tutorial's implementation
512.000000,11.291276,15.848482
1024.000000,14.033688,19.835041
1536.000000,15.342008,21.641947
2048.000000,16.093615,22.781000
2560.000000,16.571492,23.359568
3072.000000,16.904942,23.819994
3584.000000,17.141025,24.114529
4096.000000,17.351552,24.506150
4608.000000,17.508690,24.534824
5120.000000,17.619572,24.624287
5632.000000,17.715276,24.559386
6144.000000,17.790588,24.927969
6656.000000,17.825391,24.794927
7168.000000,17.867032,24.971251
7680.000000,17.927918,25.112786
8192.000000,17.979662,25.304301
